state,x,y
Jammuandkashmir,-266.0,342.0
Ladakh,-167.0,367.0
Himachalpradesh,-170.0,298.0
Punjab,-211.0,269.0
Uttarakhand,-130.0,249.0
Haryana,-192.0,208.0
Uttarpradesh,-87.0,147.0
Rajasthan,-267.0,130.0
Gujarat,-313.0,32.0
Madhyapradesh,-168.0,32.0
Bihar,60.0,114.0
Jharkhand,29.0,54.0
Westbengal,101.0,32.0
Odisha,21.0,-38.0
Andhrapradesh,-142.0,-186.0
Telangana,-132.0,-111.0
Tamilnadu,-150.0,-307.0
Kerala,-203.0, -337.0
Karnataka,-217.0,-197.0
Maharasthra,-241.0,-69.0
Chattisgarh,-50.0,-3.0
Arunachalpradesh,275.0,193.0
Assam,214.0,128.0
Nagaland,298.0,120.0
Manipur,281.0,81.0
Mizoram,259.0,41.0
Tripura,207.0,57.0
Meghalaya,189.0,102.0
